                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3459,                 2.8917,                 1.4495,                0.91475,                0.25123,                0.26235,                0.24505,                 1.2474,                 2.9533,                 1.4367,                0.07426,                0.00026,                0.00026
                      2,                   1.14,                 1.8238,                 1.2708,                0.42172,                0.42611,                0.26672,                0.20063,                 1.2753,                 2.2412,                 1.3782,               0.047523,              0.0005225,              0.0005225
                      3,                  1.098,                 1.6545,                  1.252,                0.23734,                 0.4532,                0.19606,                0.14036,                 1.0327,                 4.5637,                 1.3626,               0.020777,             0.00077737,             0.00077737
                      4,                 1.0003,                 1.5136,                 1.2119,                0.17722,                0.32512,                0.17504,                0.13314,                0.99945,                 9.8093,                 1.3668,             0.00095757,             0.00095757,             0.00095757
                      5,                 1.0609,                 1.5773,                 1.2586,                0.60105,                0.52321,                 0.5049,                0.41794,                 1.0019,                 3.0118,                 1.3787,             0.00094343,             0.00094343,             0.00094343
                      6,                 1.0058,                 1.4688,                 1.2086,                 0.2112,                0.30788,                0.13605,                0.09579,                 1.5476,                 3.1949,                 1.5107,             0.00092929,             0.00092929,             0.00092929
                      7,                0.95849,                 1.3321,                 1.1753,                0.60579,                0.56404,                0.55417,                0.47913,                  1.031,                 1.6844,                 1.2268,             0.00091514,             0.00091514,             0.00091514
                      8,                0.95587,                 1.3731,                 1.2053,                0.71661,                0.51696,                0.57424,                0.47497,                  0.906,                 2.1797,                 1.1796,               0.000901,               0.000901,               0.000901
                      9,                0.93479,                 1.3582,                 1.1854,                0.70785,                0.54187,                0.55539,                0.49024,                0.83112,                 2.4596,                 1.1639,             0.00088686,             0.00088686,             0.00088686
                     10,                0.87466,                 1.3396,                   1.14,                0.66364,                0.55419,                0.60868,                 0.5272,                0.81609,                 1.3562,                 1.1146,             0.00087271,             0.00087271,             0.00087271
                     11,                0.86233,                 1.3446,                 1.1251,                0.69996,                0.51139,                0.56824,                0.46812,                0.82293,                 1.5193,                 1.1085,             0.00085857,             0.00085857,             0.00085857
                     12,                0.80078,                 1.2113,                 1.1077,                0.69331,                0.56897,                0.56521,                0.52141,                0.75649,                 1.5366,                 1.1085,             0.00084443,             0.00084443,             0.00084443
                     13,                0.83176,                 1.2448,                 1.1366,                0.59633,                0.58946,                0.58122,                0.51318,                0.75784,                 1.7052,                 1.0959,             0.00083029,             0.00083029,             0.00083029
                     14,                0.78339,                 1.1855,                 1.0984,                  0.652,                 0.5953,                0.62762,                0.54573,                  0.761,                 1.1792,                 1.0896,             0.00081614,             0.00081614,             0.00081614
                     15,                0.80111,                 1.2239,                  1.112,                0.69178,                0.56897,                0.62808,                0.56543,                0.74472,                 1.1122,                 1.0729,               0.000802,               0.000802,               0.000802
                     16,                0.81302,                 1.2227,                 1.1399,                0.69262,                0.48768,                0.58618,                0.50609,                0.69036,                  1.251,                 1.0621,             0.00078786,             0.00078786,             0.00078786
                     17,                0.73821,                 1.1882,                 1.0776,                 0.7276,                0.50739,                0.63025,                0.53793,                0.67982,                 1.1093,                 1.0546,             0.00077371,             0.00077371,             0.00077371
                     18,                0.73951,                 1.1679,                 1.0713,                0.74776,                0.51478,                0.59256,                0.52114,                0.71345,                 1.2211,                 1.0387,             0.00075957,             0.00075957,             0.00075957
                     19,                0.71772,                  1.144,                 1.0578,                0.73241,                0.53259,                0.63115,                0.56111,                0.73202,                 1.1735,                 1.0508,             0.00074543,             0.00074543,             0.00074543
                     20,                0.69858,                 1.0805,                 1.0403,                0.74065,                0.57389,                0.67072,                0.59879,                0.64745,                 1.1308,                 1.0328,             0.00073129,             0.00073129,             0.00073129
                     21,                0.73271,                 1.1326,                 1.0822,                0.73514,                0.55911,                0.64697,                 0.5668,                 0.6771,                 1.0385,                 1.0512,             0.00071714,             0.00071714,             0.00071714
                     22,                 0.6905,                 1.0462,                 1.0268,                0.69256,                0.61589,                0.67957,                0.59589,                0.70931,                  1.209,                  1.043,               0.000703,               0.000703,               0.000703
                     23,                0.69705,                 1.0554,                  1.066,                 0.7365,                0.53699,                0.67346,                0.60679,                0.60396,                 1.0738,                  1.034,             0.00068886,             0.00068886,             0.00068886
                     24,                0.74836,                  1.148,                 1.0928,                0.74239,                0.50493,                0.63966,                0.57069,                0.57471,                 1.1592,                 1.0086,             0.00067471,             0.00067471,             0.00067471
                     25,                0.63026,                 0.9868,                 1.0205,                0.73903,                0.57635,                0.67734,                 0.6083,                 0.6113,                 0.9635,                  1.016,             0.00066057,             0.00066057,             0.00066057
                     26,                0.68042,                 1.0643,                 1.0421,                0.70728,                0.60591,                0.70433,                0.62419,                0.60433,                 0.9862,                  1.014,             0.00064643,             0.00064643,             0.00064643
                     27,                0.68455,                  1.085,                 1.0593,                 0.6896,                0.60591,                0.69673,                  0.626,                0.56768,                 1.0068,                0.99956,             0.00063229,             0.00063229,             0.00063229
